CABINET, WOOD, YES, 145, 12, .083, 0.000, .0060, 0.0000, 4, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 26, 55, 5.81, , N, 1.73, .50, .029, 1
CABINET, DRAWER, YES, 145, 10, .069, .024, .0020, .0037, 3, 0, 3.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 9, 8, 6.31, , N, 1.78, .56, .140, 1
CABINET, MAKER, YES, 145, 9, .062, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 17, 12, 4.46, , N, .92, .15, .001, 0
CABINET, CUPBOARD, YES, 145, 7, .048, .151, .0020, .0218, 1, 0, 7.0, 6, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 15, 2, 5.82, , N, 2.00, .17, .008, 1
CABINET, DISHES, YES, 145, 6, .041, 0.000, .0050, .0029, 1, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 19, 21, ¥, G, N, 2.22, .17, .037, 1
CABINET, STORAGE, YES, 145, 6, .041, 0.000, .0040, .0019, 4, 0, 1.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 21, 41, 4.88, , N, 1.65, .35, .026, 1
CABINET, CLOSET, YES, 145, 4, .028, 0.000, .0080, .0107, 4, 0, 3.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 14, 16, 5.95, , N, 1.38, .31, .009, 1
CABINET, FOOD, YES, 145, 4, .028, 0.000, .0360, 0.0000, 5, 0, 0.0, 0, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 18, 147, 5.84, , N, 1.69, .63, .203, 1
CABINET, COUNTER, YES, 145, 3, .021, 0.000, .0050, .0246, 2, 0, 3.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 17, 31, ¥, T, N, 1.00, .20, .004, 1
CABINET, DESK, YES, 145, 3, .021, 0.000, .0110, .0014, 4, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 18, 65, 5.79, , N, 3.17, .33, .013, 1
CABINET, FILE, YES, 145, 3, .021, .245, 0.0000, .0013, 0, 0, 2.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 16, 81, 4.63, N, N, 1.19, .31, .014, 1
